time,code,open,close,high,low,volume,money,belong,name,pre_close,change_rate
2022/4/1 9:31,430047,14.4,14.4,14.4,14.4,1000,14400,京交所,诺思兰德,14.42,-0.001386963
2022/4/1 9:32,430047,14.4,14.4,14.4,14.4,2400,34560,京交所,诺思兰德,14.42,-0.001386963
2022/4/1 9:33,430047,14.4,14.4,14.4,14.4,0,0,京交所,诺思兰德,14.42,-0.001386963
2022/4/1 9:34,430047,14.4,14.39,14.4,14.37,13089,188325,京交所,诺思兰德,14.42,-0.002080444
2022/4/1 9:35,430047,14.39,14.39,14.39,14.39,2200,31658,京交所,诺思兰德,14.42,-0.002080444
2022/4/1 9:36,430047,14.39,14.4,14.4,14.39,2200,31665,京交所,诺思兰德,14.42,-0.001386963
2022/4/1 9:37,430047,14.39,14.38,14.39,14.38,1827,26289,京交所,诺思兰德,14.42,-0.002773925
2022/4/1 9:38,430047,14.38,14.37,14.38,14.37,10500,150935,京交所,诺思兰德,14.42,-0.003467406
2022/4/1 9:39,430047,14.37,14.35,14.37,14.25,1870,26697,京交所,诺思兰德,14.42,-0.004854369
2022/4/1 9:40,430047,14.35,14.35,14.35,14.35,0,0,京交所,诺思兰德,14.42,-0.004854369
2022/4/1 9:41,430047,14.35,14.16,14.35,14.16,11111,157656,京交所,诺思兰德,14.42,-0.018030513
2022/4/1 9:42,430047,14.16,14.07,14.16,14.07,59023,834683,京交所,诺思兰德,14.42,-0.024271845
2022/4/1 9:43,430047,14.07,14.11,14.11,14.07,21953,309148,京交所,诺思兰德,14.42,-0.02149792
2022/4/1 9:44,430047,14.09,14.11,14.11,14.06,15100,212574,京交所,诺思兰德,14.42,-0.02149792
2022/4/1 9:45,430047,14.11,14.25,14.25,14.11,153,2180,京交所,诺思兰德,14.42,-0.011789182
2022/4/1 9:46,430047,14.25,14.25,14.25,14.25,0,0,京交所,诺思兰德,14.42,-0.011789182
2022/4/1 9:47,430047,14.25,14.12,14.25,14.12,4000,56500,京交所,诺思兰德,14.42,-0.020804438
2022/4/1 9:48,430047,14.13,14.11,14.13,14.11,9180,129586,京交所,诺思兰德,14.42,-0.02149792
2022/4/1 9:49,430047,14.11,14.01,14.11,14.01,40219,564885,京交所,诺思兰德,14.42,-0.028432732
2022/4/1 9:50,430047,14.01,14.01,14.01,14,26557,371915,京交所,诺思兰德,14.42,-0.028432732
2022/4/1 9:51,430047,14.01,13.91,14.01,13.91,35809,499687,京交所,诺思兰德,14.42,-0.035367545
2022/4/1 9:52,430047,13.91,14.01,14.01,13.91,17676,246347,京交所,诺思兰德,14.42,-0.028432732
2022/4/1 9:53,430047,13.94,14,14,13.94,3242,45298,京交所,诺思兰德,14.42,-0.029126214
2022/4/1 9:54,430047,14,14,14.01,14,6730,94231,京交所,诺思兰德,14.42,-0.029126214
2022/4/1 9:55,430047,14,14,14,14,2293,32102,京交所,诺思兰德,14.42,-0.029126214
2022/4/1 9:56,430047,14,13.98,14,13.98,2240,31340,京交所,诺思兰德,14.42,-0.030513176
2022/4/1 9:57,430047,14,14.01,14.01,14,6227,87214,京交所,诺思兰德,14.42,-0.028432732
2022/4/1 9:58,430047,14.01,14.03,14.03,14.01,5000,70150,京交所,诺思兰德,14.42,-0.02704577
2022/4/1 9:59,430047,14.03,14.2,14.2,14.03,2901,41163,京交所,诺思兰德,14.42,-0.015256588
2022/4/1 10:00,430047,14.2,14.19,14.2,14.19,4599,65270,京交所,诺思兰德,14.42,-0.015950069
2022/4/1 10:01,430047,14.19,14.19,14.2,14.19,1129,16021,京交所,诺思兰德,14.42,-0.015950069
2022/4/1 10:02,430047,14.19,14.19,14.19,14.19,1712,24294,京交所,诺思兰德,14.42,-0.015950069
2022/4/1 10:03,430047,14.19,14.19,14.19,14.19,300,4257,京交所,诺思兰德,14.42,-0.015950069
2022/4/1 10:04,430047,14.19,14.18,14.19,14.18,900,12762,京交所,诺思兰德,14.42,-0.016643551
2022/4/1 10:05,430047,14.18,14.28,14.28,14.18,1760,25026,京交所,诺思兰德,14.42,-0.009708738
2022/4/1 10:06,430047,14.28,14.29,14.29,14.28,1000,14290,京交所,诺思兰德,14.42,-0.009015257
2022/4/1 10:07,430047,14.3,14.3,14.32,14.3,5328,76229,京交所,诺思兰德,14.42,-0.008321775
2022/4/1 10:08,430047,14.3,14.3,14.3,14.3,900,12870,京交所,诺思兰德,14.42,-0.008321775
2022/4/1 10:09,430047,14.3,14.32,14.32,14.3,4190,59996,京交所,诺思兰德,14.42,-0.006934813
2022/4/1 10:10,430047,14.32,14.3,14.32,14.3,3059,43764,京交所,诺思兰德,14.42,-0.008321775
2022/4/1 10:11,430047,14.3,14.3,14.3,14.3,0,0,京交所,诺思兰德,14.42,-0.008321775
2022/4/1 10:12,430047,14.3,14.3,14.3,14.3,0,0,京交所,诺思兰德,14.42,-0.008321775
2022/4/1 10:13,430047,14.3,14.28,14.3,14.28,1031,14723,京交所,诺思兰德,14.42,-0.009708738
2022/4/1 10:14,430047,14.28,14.28,14.28,14.28,6200,88536,京交所,诺思兰德,14.42,-0.009708738
2022/4/1 10:15,430047,14.28,14.18,14.28,14.18,2800,39704,京交所,诺思兰德,14.42,-0.016643551
2022/4/1 10:16,430047,14.18,14.18,14.28,14.18,8764,124424,京交所,诺思兰德,14.42,-0.016643551
2022/4/1 10:17,430047,14.17,14.15,14.17,14.15,7600,107737,京交所,诺思兰德,14.42,-0.018723994
2022/4/1 10:18,430047,14.15,14.15,14.18,14.15,8196,116063,京交所,诺思兰德,14.42,-0.018723994
2022/4/1 10:19,430047,14.15,14.26,14.26,14.15,5470,77511,京交所,诺思兰德,14.42,-0.0110957
2022/4/1 10:20,430047,14.26,14.2,14.27,14.2,4500,64075,京交所,诺思兰德,14.42,-0.015256588
2022/4/1 10:21,430047,14.2,14.27,14.27,14.2,2000,28519,京交所,诺思兰德,14.42,-0.010402219
2022/4/1 10:22,430047,14.27,14.27,14.27,14.27,1247,17794,京交所,诺思兰德,14.42,-0.010402219
2022/4/1 10:23,430047,14.27,14.22,14.27,14.22,1543,21942,京交所,诺思兰德,14.42,-0.013869626
2022/4/1 10:24,430047,14.22,14.22,14.22,14.22,1457,20718,京交所,诺思兰德,14.42,-0.013869626
2022/4/1 10:25,430047,14.22,14.22,14.22,14.22,321,4565,京交所,诺思兰德,14.42,-0.013869626
2022/4/1 10:26,430047,14.22,14.22,14.22,14.22,0,0,京交所,诺思兰德,14.42,-0.013869626
2022/4/1 10:27,430047,14.22,14.28,14.28,14.22,3000,42837,京交所,诺思兰德,14.42,-0.009708738
2022/4/1 10:28,430047,14.28,14.28,14.28,14.28,1224,17479,京交所,诺思兰德,14.42,-0.009708738
2022/4/1 10:29,430047,14.28,14.34,14.34,14.28,1000,14340,京交所,诺思兰德,14.42,-0.00554785
2022/4/1 10:30,430047,14.34,14.44,14.44,14.34,14986,215436,京交所,诺思兰德,14.42,0.001386963
2022/4/1 10:31,430047,14.49,14.5,14.5,14.44,19000,275210,京交所,诺思兰德,14.42,0.00554785
2022/4/1 10:32,430047,14.5,14.43,14.5,14.43,9100,131475,京交所,诺思兰德,14.42,0.000693481
2022/4/1 10:33,430047,14.43,14.45,14.45,14.43,3400,49109,京交所,诺思兰德,14.42,0.002080444
2022/4/1 10:34,430047,14.45,14.39,14.45,14.39,1500,21585,京交所,诺思兰德,14.42,-0.002080444
2022/4/1 10:35,430047,14.39,14.43,14.43,14.39,1000,14416,京交所,诺思兰德,14.42,0.000693481
2022/4/1 10:36,430047,14.43,14.43,14.43,14.43,339,4892,京交所,诺思兰德,14.42,0.000693481
2022/4/1 10:37,430047,14.43,14.43,14.43,14.43,0,0,京交所,诺思兰德,14.42,0.000693481
2022/4/1 10:38,430047,14.45,14.43,14.5,14.43,12919,187133,京交所,诺思兰德,14.42,0.000693481
2022/4/1 10:39,430047,14.43,14.52,14.52,14.43,2000,29018,京交所,诺思兰德,14.42,0.006934813
2022/4/1 10:40,430047,14.53,14.6,14.6,14.53,26989,393421,京交所,诺思兰德,14.42,0.012482663
2022/4/1 10:41,430047,14.6,14.71,14.72,14.6,19177,281882,京交所,诺思兰德,14.42,0.020110957
2022/4/1 10:42,430047,14.72,14.71,14.72,14.71,26534,390419,京交所,诺思兰德,14.42,0.020110957
2022/4/1 10:43,430047,14.77,14.47,14.88,14.47,19408,287535,京交所,诺思兰德,14.42,0.003467406
2022/4/1 10:44,430047,14.47,14.83,14.88,14.47,1469,21805,京交所,诺思兰德,14.42,0.028432732
