code,name,all_stock,now_stock,begin_date,industry,city
430047,诺思兰德,25725.02,14778.89,20201124,医药制造业,北京市
430090,同辉信息,15333.35,9294.58,20210809,软件和信息技术服务业,北京市
430198,微创光电,12412.61,6457.88,20200727,计算机、通信和其他电子设备制造业,湖北省
430418,苏轴股份,8060,3865.57,20200727,通用设备制造业,江苏省
430489,佳先股份,8528.7,5236.59,20200727,化学原料和化学制品制造业,安徽省
430510,丰光精密,13158.14,6292.64,20201228,金属制品业,山东省
830799,艾融软件,14076.92,7838.78,20200727,软件和信息技术服务业,上海市
830832,齐鲁华信,13876.39,10934.76,20210223,化学原料和化学制品制造业,山东省
830839,万通液压,12000,2974.35,20201109,通用设备制造业,山东省
830946,森萱医药,42691.83,42669.33,20200727,医药制造业,江苏省
830964,润农节水,26120.8,17583.19,20200727,橡胶和塑料制品业,河北省
831010,凯添燃气,23450,16081.48,20200727,燃气生产和供应业,宁夏回族自治区
831039,国义招标,15382,4581.79,20210818,专业技术服务业,广东省
831305,海希通讯,7013,1755.7,20211105,仪器仪表制造业,上海市
831370,新安洁,30628,14990.16,20200727,公共设施管理业,重庆市
831445,龙竹科技,11506.58,6732.49,20200727,家具制造业,福建省
831689,克莱特,7340,2764.18,20220321,通用设备制造业,山东省
831726,朱老六,10218,2523.75,20210527,食品制造业,吉林省
831768,拾比佰,11097,5630,20210628,金属制品业,广东省
831832,科达自控,7278,3822.74,20211115,软件和信息技术服务业,山西省
831856,浩淼科技,7747.15,5056.51,20201225,专用设备制造业,安徽省
831961,创远仪器,10991.54,6280.46,20200727,仪器仪表制造业,上海市
832000,安徽凤凰,9636.91,3458.98,20201223,汽车制造业,安徽省
832089,禾昌聚合,10762,4471.23,20211109,橡胶和塑料制品业,江苏省
832145,恒合股份,7055,2467,20211115,生态保护和环境治理业,北京市
832171,志晟信息,6682.22,2051.75,20211115,软件和信息技术服务业,河北省
832225,利通科技,8135.83,4433.8,20210225,橡胶和塑料制品业,河南省
832278,鹿得医疗,17600,7298.84,20200727,专用设备制造业,江苏省
832317,观典防务,23751,11235,20200727,科技推广和应用服务业,北京市
832419,路斯股份,10367.64,4296.22,20220311,农副食品加工业,山东省
832566,梓橦宫,7328.05,4178.84,20210813,医药制造业,四川省
832735,德源药业,6528.6,4387.89,20210219,医药制造业,江苏省
832885,星辰科技,8570.9,2774.7,20210708,仪器仪表制造业,广西省
833266,生物谷,12800,10384.07,20200727,医药制造业,云南省
833346,威贸电子,8068.26,2470.75,20220223,计算机、通信和其他电子设备制造业,上海市
833427,华维设计,8247.6,1991.98,20210205,专业技术服务业,江西省
833454,同心传动,10510,2961.87,20211115,汽车制造业,河南省
833509,同惠电子,10620.31,5392.26,20210111,仪器仪表制造业,江苏省
833523,德瑞锂电,7792.41,3690.52,20210603,电气机械和器材制造业,广东省
833819,颖泰生物,122580,120807,20200727,化学原料和化学制品制造业,北京市
833873,中设咨询,15338.7,7506.14,20211115,专业技术服务业,重庆市
833874,泰祥股份,9990,2497.5,20200727,汽车制造业,湖北省
833994,翰博高新,12429,7011.49,20200727,计算机、通信和其他电子设备制造业,安徽省
834021,流金岁月,31500,23439.87,20200727,电信、广播电视和卫星传输服务,北京市
834415,恒拓开源,13770.2,7810.27,20200727,软件和信息技术服务业,天津市
834475,三友科技,10296,2843.55,20200727,专用设备制造业,浙江省
834599,同力股份,45252.5,20978.47,20210222,专用设备制造业,陕西省
834682,球冠电缆,20800,7993.31,20200727,电气机械和器材制造业,浙江省
834765,美之高,6961.3,2045.87,20210705,家具制造业,广东省
835174,五新隧装,9000.87,2890.53,20210820,专用设备制造业,湖南省
835179,凯德石英,7500,3234.4,20220304,非金属矿物制品业,北京市
835184,国源科技,13379,8772.99,20200727,软件和信息技术服务业,北京市
835185,贝特瑞,48538.61,47746.92,20200727,非金属矿物制品业,广东省
835305,云创数据,13237.61,4585.17,20210826,软件和信息技术服务业,江苏省
835368,连城数控,23250.28,12042.36,20200727,电气机械和器材制造业,辽宁省
835508,殷图网联,5000,2603.75,20200727,软件和信息技术服务业,北京市
835640,富士达,18772.8,16512.39,20200727,计算机、通信和其他电子设备制造业,陕西省
835670,数字人,6636.4,3343.52,20201208,软件和信息技术服务业,山东省
836077,吉林碳谷,31863.64,9493.35,20210831,化学纤维制造业,吉林省
836149,旭杰科技,7375.8,3975.42,20200727,非金属矿物制品业,江苏省
836239,长虹能源,8128.31,3080.41,20210209,电气机械和器材制造业,四川省
